hscode,mo_ta,chinhsach_mathang
01039200,- - Khối lượng từ 50 kg trở lên,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
0104,"Cừu, dê sống",
010410,- Cừu:,
01041010,- - Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01041090,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
010420,- Dê:,
01042010,- - Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01042090,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
0105,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi",
#6,- Loại khối lượng không quá 185 g:,
010511,- - Gà thuộc loài Gallus domesticus:,
01051110,- - - Để nhân giống (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01051190,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
010512,- - Gà tây:,
01051210,- - - Để nhân giống (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01051290,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
010513,"- - Vịt, ngan:",
01051310,- - - Để nhân giống (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01051390,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
010514,- - Ngỗng:,
01051410,- - - Để nhân giống (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01051490,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
010515,- - Gà lôi:,
01051510,- - - Để nhân giống (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01051590,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#7,- Loại khác:,
010594,- - Gà thuộc loài Gallus domesticus:,
01059410,"- - - Để nhân giống (SEN), trừ gà chọi","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
#8,- - - Gà chọi:,
01059441,- - - - Khối lượng không quá 2 kg,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01059449,- - - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
#9,- - - Loại khác:,
01059491,- - - - Khối lượng không quá 2 kg,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01059499,- - - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
010599,- - Loại khác:,
01059910,"- - - Vịt, ngan để nhân giống (SEN)","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01059920,"- - - Vịt, ngan loại khác","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01059930,"- - - Ngỗng, gà tây và gà lôi để nhân giống (SEN)","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01059940,"- - - Ngỗng, gà tây và gà lôi loại khác","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
0106,Động vật sống khác,
#10,- Động vật có vú:,
01061100,- - Bộ động vật linh trưởng,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
010612,"- - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia):",
01061210,"- - - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)","Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN)*; Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8)*"
01061220,"- - - Hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia)","Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN)*; Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8)*"
01061300,- - Lạc đà và họ lạc đà (Camelidae),"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01061400,- - Thỏ (Rabbits và hares),"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01061900,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5)"
01062000,- Loài bò sát (kể cả rắn và rùa),"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8)"
#11,- Các loại chim:,
01063100,- - Chim săn mồi ,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01063200,"- - Vẹt (kể cả vẹt lớn châu Mỹ (parrots), vẹt nhỏ đuôi dài (parakeets), vẹt đuôi dài và vẹt có mào)","Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01063300,- - Đà điểu; đà điểu châu Úc (Dromaius novaehollandiae),"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01063900,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#12,- Côn trùng:,
01064100,- - Các loại ong,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Kiểm dịch thực vật (11/2021 & 01/2022/TT-BNNPTNT M9)"
01064900,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Kiểm dịch thực vật (11/2021 & 01/2022/TT-BNNPTNT M9)"
01069000,- Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8); Kiểm dịch thực vật (11/2021 & 01/2022/TT-BNNPTNT M9)"
0201,"Thịt của động vật họ trâu bò, tươi hoặc ướp lạnh",
02011000,- Thịt cả con và nửa con,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02012000,- Thịt pha có xương khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02013000,- Thịt lọc không xương,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
0202,"Thịt của động vật họ trâu bò, đông lạnh",
02021000,- Thịt cả con và nửa con,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02022000,- Thịt pha có xương khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02023000,- Thịt lọc không xương,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
0203,"Thịt lợn, tươi, ướp lạnh hoặc đông lạnh",
#13,- Tươi hoặc ướp lạnh:,
02031100,- - Thịt cả con và nửa con,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02031200,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02031900,- - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#14,- Đông lạnh:,
02032100,- - Thịt cả con và nửa con,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02032200,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02032900,- - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
0204,"Thịt cừu hoặc dê, tươi, ướp lạnh hoặc đông lạnh",
02041000,"- Thịt cừu non cả con và nửa con, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#15,"- Thịt cừu khác, tươi hoặc ướp lạnh:",
02042100,- - Thịt cả con và nửa con,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02042200,- - Thịt pha có xương khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02042300,- - Thịt lọc không xương,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02043000,"- Thịt cừu non, cả con và nửa con, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#16,"- Thịt cừu khác, đông lạnh:",
02044100,- - Thịt cả con và nửa con,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02044200,- - Thịt pha có xương khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02044300,- - Thịt lọc không xương,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02045000,- Thịt dê,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02050000,"Thịt ngựa, lừa, la, tươi, ướp lạnh hoặc đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
0206,"Phụ phẩm ăn được sau giết mổ của lợn, động vật họ trâu bò, cừu, dê, ngựa, la, lừa, tươi, ướp lạnh hoặc đông lạnh",
02061000,"- Của động vật họ trâu bò, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#17,"- Của động vật họ trâu bò, đông lạnh:",
02062100,- - Lưỡi,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02062200,- - Gan,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02062900,- - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02063000,"- Của lợn, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#18,"- Của lợn, đông lạnh:",
02064100,- - Gan,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02064900,- - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02068000,"- Loại khác, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02069000,"- Loại khác, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
0207,"Thịt và phụ phẩm ăn được sau giết mổ, của gia cầm thuộc nhóm 01.05, tươi, ướp lạnh hoặc đông lạnh",
#19,- Của gà thuộc loài Gallus domesticus:,
02071100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02071200,"- - Chưa chặt mảnh, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02071300,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
020714,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh:",
02071410,- - - Cánh,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02071420,- - - Đùi,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02071430,- - - Gan,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#20,- - - Loại khác:,
02071491,- - - - Thịt đã được lọc hoặc tách khỏi xương bằng phương pháp cơ học (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02071499,- - - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#21,- Của gà tây:,
02072400,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02072500,"- - Chưa chặt mảnh, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02072600,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
020727,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh:",
02072710,- - - Gan,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#22,- - - Loại khác:,
02072791,- - - - Thịt đã được lọc hoặc tách khỏi xương bằng phương pháp cơ học (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02072799,- - - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#23,"- Của vịt, ngan:",
02074100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02074200,"- - Chưa chặt mảnh, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02074300,"- - Gan béo, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02074400,"- - Loại khác, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
020745,"- - Loại khác, đông lạnh:",
02074510,- - - Gan béo,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
02074590,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
#24,- Của ngỗng:,
02075100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02075200,"- - Chưa chặt mảnh, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02075300,"- - Gan béo, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02075400,"- - Loại khác, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
020755,"- - Loại khác, đông lạnh:",
02075510,- - - Gan béo,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
02075590,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
020760,- Của gà lôi: ,
02076010,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
02076020,"- - Chưa chặt mảnh, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
02076030,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
02076040,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)*"
0208,"Thịt và phụ phẩm dạng thịt ăn được sau giết mổ của động vật khác, tươi, ướp lạnh hoặc đông lạnh",
02081000,- Của thỏ hoặc thỏ rừng,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
02083000,- Của bộ động vật linh trưởng,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
020840,"- Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); của hải cẩu, sư tử biển và con moóc (hải mã) (động vật có vú thuộc phân bộ Pinnipedia):",
02084010,"- - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)","Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5)"
02084090,- - Loại khác,"Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5)"
