HS code,Mô tả sản phẩm
02109920,- - - Da lợn khô 
0301,Cá sống
030111,- - Cá nước ngọt:
03011110,- - - Cá bột
03011191,- - - - Cá chép Koi (Cyprinus carpio)
03011192,- - - - Cá vàng (Carassius auratus)
03011193,- - - - Cá chọi Thái Lan (Beta splendens)
03011195,- - - - Cá rồng (Scleropages formosus)
03019100,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)"
03019200,- - Cá chình (Anguilla spp.)
030193,"- - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.):"
03019321,"- - - - Để nhân giống, trừ cá bột (SEN)"
03019322,- - - - Cá bột
03019400,"- - Cá ngừ vây xanh Đại Tây Dương và Thái Bình Dương (Thunnus thynnus, Thunnus orientalis)"
03019500,- - Cá ngừ vây xanh phương Nam (Thunnus maccoyii)
03019911,- - - - Để nhân giống (SEN)
03019922,"- - - - Cá chép khác, để nhân giống (SEN)"
03019923,- - - - Cá chép loại khác (SEN)
03019924,"- - - - Loại khác, để nhân giống"
03019931,- - - - Cá măng biển để nhân giống (SEN)
03019932,"- - - - Cá măng biển, loại khác (SEN)"
03019933,- - - - Cá mú chấm nhỏ (Plectropomus leopardus)(SEN)
03019934,- - - - Cá mú hoa nâu/cá mú cọp (Epinephelus fuscoguttatus) (SEN)
03019935,- - - - Cá mú dẹt (Cromileptes altivelis) (SEN)
03019936,- - - - Cá mú loại khác
03019941,- - - - Cá rô phi (Oreochromis spp.)(SEN)
03019950,- - - Cá biển khác
0302,"Cá, tươi hoặc ướp lạnh, trừ phi-lê cá (fillets) và các loại thịt cá khác thuộc nhóm 03.04"
03021300,"- - Cá hồi Thái Bình Dương (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus)"
03021400,- - Cá hồi Đại Tây Dương (Salmo salar) và cá hồi sông Đa-nuýp (Hucho hucho)
03022100,"- - Cá bơn lưỡi ngựa(Halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
03022200,- - Cá bơn sao (Pleuronectes platessa)
03022300,- - Cá bơn sole (Solea spp.)
03022400,- - Cá bơn turbots (Psetta maxima)
03023100,- - Cá ngừ vây dài (Thunnus alalunga)
03023200,- - Cá ngừ vây vàng (Thunnus albacares)
03023300,- - Cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis)
03023400,- - Cá ngừ mắt to (Thunnus obesus)
03024100,"- - Cá trích nước lạnh (Clupea harengus, Clupea pallasii)"
03024200,- - Cá cơm (cá trỏng) (Engraulis spp.)
03024300,"- - Cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus)"
03024400,"- - Cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
03024500,- - Cá nục gai và cá sòng (Trachurus spp.)
03024600,- - Cá giò (Rachycentron canadum) 
03024700,- - Cá kiếm (Xiphias gladius)
03025100,"- - Cá tuyết (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
03025200,- - Cá tuyết chấm đen (Melanogrammus aeglefinus)
03025300,- - Cá tuyết đen (Pollachius virens)
03025400,"- - Cá tuyết hake (Merluccius spp., Urophycis spp.)"
03025500,- - Cá Minh Thái (Alaska Pollock) (Theragra chalcogramma)
03025600,"- - Cá tuyết lam (Micromesistius poutassou, Micromesistius australis)"
03027100,- - Cá rô phi (Oreochromis spp.)
030272,"- - Cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.):"
03027210,- - - Cá tra đuôi vàng (Pangasius pangasius)
03027300,"- - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
03028100,- - Cá nhám góc và cá mập khác
03028200,- - Cá đuối (Rajidae)
03028300,- - Cá răng cưa (Dissostichus spp.)
03028400,- - Cá vược (hoặc cá vược Châu Âu) (Dicentrarchus spp.)
03028500,- - Cá tráp biển (Sparidae)
03028911,- - - - Cá mú 
03028912,- - - - Cá bạc (Pentaprion longimanus)
03028913,- - - - Cá mối hoa (Trachinocephalus myops)
03028914,"- - - - Cá hố savalai (Lepturacanthus savala), cá đù Belanger (Johnius belangerii), cá đù Reeve (Chrysochir aureus) và cá đù mắt to (Pennahia anea)"
03028915,- - - - Cá nhụ Ấn Độ (Polynemus indicus)
03028916,"- - - - Cá sòng gió (Megalaspis cordyla), cá hiên chấm (Drepane punctata) và cá nhồng lớn (Sphyraena barracuda)"
03028917,- - - - Cá chim đen (Parastromatus niger)
03028918,- - - - Cá hồng bạc (Lutjanus argentimaculatus)
03028922,- - - - Cá đòng đong đầm lầy (Puntius chola)
03028923,- - - - Cá sạo bạc (Pomadasys argenteus)
03028927,- - - - Cá mòi Hilsa (Tenualosa ilisha)
03028928,- - - - Cá leo (Wallago attu) và cá tra dầu (Sperata seenghala)
03029100,"- - Gan, sẹ và bọc trứng cá"
03029200,- - Vây cá mập
0303,"Cá, đông lạnh, trừ phi-lê cá (fillets) và các loại thịt cá khác thuộc nhóm 03.04"
03031100,- - Cá hồi đỏ (Oncorhynchus nerka)
03031200,"- - Cá hồi Thái Bình Dương khác (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus)"
03032300,- - Cá rô phi (Oreochromis spp.) (SEN)
03032400,"- - Cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
03033100,"- - Cá bơn lưỡi ngựa (Halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
03033400,- - Cá bơn turbot (Psetta maxima)
030345,"- - Cá ngừ vây xanh Đại Tây Dương và Thái Bình Dương (Thunnus thynnus, Thunnus orientalis):"
03034510,- - - Cá ngừ vây xanh Đại Tây Dương (Thunnus thynnus)
03034590,- - - Cá ngừ vây xanh Thái Bình Dương (Thunnus orientalis)
03034910,- - - Cá ngừ bò (Thunnus tonggol) (SEN)
030354,"- - Cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus):"
03035410,"- - - Cá nục hoa (Scomber scombrus, Scomber australasicus) (SEN)"
03035420,- - - Cá thu ngừ Thái Bình Dương (sa ba) (Scomber japonicus) (SEN)
03035910,- - - Cá bạc má (Rastrelliger kanagurta); cá bạc má đảo (Rastrelliger faughni)
03035920,- - - Cá chim trắng (Pampus spp.)
03038911,- - - - Cá mú
03038915,- - - - Cá nhụ Ấn Độ (Polynemus indicus) 
03038923,- - - - Cá măng biển (Chanos chanos) (SEN)
0304,"Phi-lê cá và các loại thịt cá khác (đã hoặc chưa xay, nghiền, băm), tươi, ướp lạnh hoặc đông lạnh"
03043300,- - Cá rô sông Nile (Lates niloticus)
03044100,"- - Cá hồi Thái Bình Dương (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus), cá hồi Đại Tây Dương (Salmo salar) và cá hồi sông Đa-nuýp (Hucho hucho)"
03044300,"- - Cá bơn (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae và Citharidae)"
03044400,"- - Cá thuộc các họ Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae và Muraenolepididae"
03045100,"- - Cá rô phi (Oreochromis spp.), cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), cá chình (Anguilla spp.), cá rô sông Nile (Lates niloticus) và cá quả (cá chuối hoặc cá lóc) (Channa spp.)"
03045200,- - Cá hồi
03048700,"- - Cá ngừ đại dương (thuộc giống Thunus), cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis)"
03048800,"- - Cá nhám góc, cá mập khác, cá đuối (Rajidae)"
03048910,- - - Cá nục heo cờ (Coryphaena hippurus) (SEN)
03049500,"- - Cá thuộc các họ Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae và Muraenolepididae, trừ cá Minh Thái (Alaska Pollock) (Theragra chalcogramma)"
03049910,- - - Surimi (thịt cá xay) (SEN)
03049990,- - - Loại khác 
0305,"Cá, làm khô, muối hoặc ngâm nước muối; cá hun khói, đã hoặc chưa làm chín trước hoặc trong quá trình hun khói"
030520,"- Gan, sẹ và bọc trứng cá, làm khô, hun khói, muối hoặc ngâm nước muối:"
03052010,"- - Của cá nước ngọt, làm khô, muối hoặc ngâm nước muối"
03053910,"- - - Cá nhói nước ngọt (Xenentodon cancila), cá phèn dải vàng (Upeneus vittatus) và cá khế lược mang dài (Ulua mentalis)"
03053920,"- - - Cá hố savalai (Lepturacanthus savala), cá đù Belanger (Johnius belangerii), cá đù Reeve (Chrysochir aureus) và cá đù mắt to (Pennahia anea)"
03053991,- - - - Của cá nước ngọt
03053992,- - - - Của cá biển
03054910,- - - Cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis)
03055300,"- - Cá thuộc các họ Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae và Muraenolepididae, trừ cá tuyết (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
03055400,"- - Cá trích nước lạnh (Clupea harengus, Clupea pallasii), cá cơm (cá trỏng) (Engraulis spp.), cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus), cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus), cá bạc má (Rastrelliger spp.), cá thu (Scomberomorus spp.), cá nục gai và cá sòng (Trachurus spp.), cá khế jacks, cá khế crevalles (Caranx spp.), cá giò (Rachycentron canadum), cá chim trắng (Pampus spp.), cá thu đao (Cololabis saira), cá nục (Decapterus spp.), cá trứng (Mallotus villosus), cá kiếm (Xiphias gladius), cá ngừ chấm (Euthynnus affinis), cá ngừ ba chấm (Sarda spp.), cá cờ gòn, cá cờ lá (sailfishes), cá cờ spearfish (Istiophoridae)"
03055921,"- - - - Cá cơm (cá trỏng) (Stolephorus spp., Coilia spp., Setipinna spp., Lycothrissa spp., Thryssa spp. và Encrasicholina spp.) (SEN)"
03056910,- - - Cá biển
030571,- - Vây cá mập:
03057110,- - - Khô hoặc hun khói
030572,"- - Đầu cá, đuôi và bong bóng:"
03057211,- - - - Của cá tuyết (SEN)
03057219,- - - - Loại khác (SEN)
03057291,- - - - Của cá tuyết
03057910,- - - Của cá tuyết
0306,"Động vật giáp xác, đã hoặc chưa bóc mai, vỏ, sống, tươi, ướp lạnh, đông lạnh, khô, muối hoặc ngâm nước muối; động vật giáp xác hun khói, đã hoặc chưa bóc mai, vỏ, đã hoặc chưa làm chín trước hoặc trong quá trình hun khói; động vật giáp xác chưa bóc mai, vỏ, đã hấp chín hoặc luộc chín trong nước, đã hoặc chưa ướp lạnh, đông lạnh, khô, muối, hoặc ngâm nước muối"
030611,"- - Tôm hùm đá và các loại tôm biển khác (Palinurus spp., Panulirus spp., Jasus spp.):"
03061110,- - - Hun khói
030612,- - Tôm hùm (Homarus spp.):
030614,"- - Cua, ghẹ:"
03061411,"- - - - Cua, ghẹ vỏ mềm"
03061491,- - - - Ghẹ (thuộc họ Portunidae)
03061492,- - - - Cua hoàng đế/cua vua Alaska (thuộc họ Lithodidae)
03061493,- - - - Cua tuyết (thuộc họ Origoniidae)
03061500,- - Tôm hùm Na Uy (Nephrops norvegicus)
03061600,"- - Tôm shrimps và tôm prawn nước lạnh (Pandalus spp., Crangon crangon)"
030617,- - Tôm shrimps và tôm prawn khác:
03061711,- - - - Đã bỏ đầu
03061721,"- - - - Đã bỏ đầu, còn đuôi"
03061722,"- - - - Đã bỏ đầu, bỏ đuôi"
03061730,- - - Tôm càng xanh (Macrobrachium rosenbergii)
03063110,- - - Để nhân giống
03063120,"- - - Loại khác, sống"
03063130,- - - Tươi hoặc ướp lạnh
03063311,- - - - Sống
03063312,- - - - Tươi hoặc ướp lạnh
030635,"- - Tôm shrimps và tôm prawn nước lạnh (Pandalus spp., Crangon crangon):"
03063611,- - - - Tôm sú (Penaeus monodon) (SEN)
03063612,- - - - Tôm thẻ chân trắng (Litopenaeus vannamei) (SEN)
03063613,- - - - Tôm càng xanh (Macrobrachium rosenbergii) (SEN)
03063621,- - - - Tôm sú (Penaeus monodon)
03063622,- - - - Tôm thẻ chân trắng (Litopenaeus vannamei)
03063623,- - - - Tôm càng xanh (Macrobrachium rosenbergii)
03063910,- - - Sống
03069121,- - - - Hun khói
030694,- - Tôm hùm Na Uy (Nephrops norvegicus):
030695,- - Tôm shrimps và tôm prawn:
03069521,"- - - - Còn vỏ, đã hấp chín hoặc luộc chín trong nước"
0307,"Động vật thân mềm, đã hoặc chưa bóc mai, vỏ, sống, tươi, ướp lạnh, đông lạnh, khô, muối hoặc ngâm nước muối; động vật thân mềm hun khói, đã hoặc chưa bóc mai, vỏ, đã hoặc chưa làm chín trước hoặc trong quá trình hun khói"
030711,"- - Sống, tươi hoặc ướp lạnh:"
03071200,- - Đông lạnh
03071920,"- - - Khô, muối hoặc ngâm nước muối"
03074211,"- - - - Mực nang (Sepia officinalis, Rossia macrosoma, Sepiola spp.) và mực ống (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.)"
030743,- - Đông lạnh:
03074310,"- - - Mực nang (Sepia officinalis, Rossia macrosoma, Sepiola spp.) và mực ống (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.)"
030760,"- Ốc, trừ ốc biển:"
03076010,- - Sống
03076020,"- - Tươi, ướp lạnh hoặc đông lạnh"
03076040,"- - Khô, muối hoặc ngâm nước muối"
03076050,- - Hun khói
030781,"- - Bào ngư (Haliotis spp.) sống, tươi hoặc ướp lạnh:"
030782,"- - Ốc nhảy (Strombus spp.) sống, tươi hoặc ướp lạnh:"
03078300,- - Bào ngư (Haliotis spp.) đông lạnh
03078400,- - Ốc nhảy (Strombus spp.) đông lạnh
030787,- - Bào ngư (Haliotis spp.) ở dạng khác:
030788,- - Ốc nhảy (Strombus spp.) ở dạng khác:
0308,"Động vật thủy sinh không xương sống trừ động vật giáp xác và động vật thân mềm, sống, tươi, ướp lạnh, đông lạnh, khô, muối hoặc ngâm nước muối; động vật thủy sinh không xương sống hun khói trừ động vật giáp xác và động vật thân mềm, đã hoặc chưa làm chín trước hoặc trong quá trình hun khói"
030830,- Sứa (Rhopilema spp.):
03083020,- - Tươi hoặc ướp lạnh
0309,"Bột mịn, bột thô và viên của cá, động vật giáp xác, động vật thân mềm và động vật thủy sinh không xương sống khác, thích hợp dùng làm thức ăn cho người"
03091000,- Của cá
03099012,- - - Đông lạnh
03099090,- - Của động vật thủy sinh không xương sống khác
0401,"Sữa và kem, chưa cô đặc và chưa pha thêm đường hoặc chất tạo ngọt khác"
040110,- Có hàm lượng chất béo không quá 1% tính theo khối lượng:
04011010,- - Dạng lỏng
040120,- Có hàm lượng chất béo trên 1% nhưng không quá 6% tính theo khối lượng:
040140,- Có hàm lượng chất béo trên 6% nhưng không quá 10% tính theo khối lượng:
04014010,- - Sữa dạng lỏng
04014020,- - Sữa dạng đông lạnh
040150,- Có hàm lượng chất béo trên 10% tính theo khối lượng:
0402,"Sữa và kem, đã cô đặc hoặc đã pha thêm đường hoặc chất tạo ngọt khác"
040210,"- Dạng bột, hạt hoặc các thể rắn khác, có hàm lượng chất béo không quá 1,5% tính theo khối lượng:"
04021041,- - - Đóng gói với khối lượng tịnh từ 20 kg trở lên
04021042,- - - Đóng gói với khối lượng tịnh từ 2 kg trở xuống
04029100,- - Chưa pha thêm đường hoặc chất tạo ngọt khác
0403,"Sữa chua; buttermilk, sữa đông và kem đông, kephir và sữa, kem khác đã lên men hoặc axit hóa, đã hoặc chưa cô đặc hoặc pha thêm đường hoặc chất tạo ngọt khác hoặc hương liệu hoặc bổ sung thêm hoa quả, quả hạch (nuts) hoặc ca cao"
040320,- Sữa chua:
04032011,"- - - Đã thêm hương liệu hoặc thêm hoa quả (kể cả thịt quả và mứt), quả hạch (nuts) hoặc ca cao"
04039010,- - Buttermilk
0404,"Whey, đã hoặc chưa cô đặc hoặc pha thêm đường hoặc chất tạo ngọt khác; các sản phẩm có chứa thành phần tự nhiên của sữa, đã hoặc chưa pha thêm đường hoặc chất tạo ngọt khác, chưa được chi tiết hoặc ghi ở nơi khác"
040410,"- Whey và whey đã cải biến, đã hoặc chưa cô đặc hoặc pha thêm đường hoặc chất tạo ngọt khác:"
04041011,"- - - Whey, thích hợp sử dụng cho người (SEN)"
0405,Bơ và các chất béo và các loại dầu khác tách từ sữa; chất phết từ bơ sữa (dairy spreads)
04051000,- Bơ
04052000,- Chất phết từ bơ sữa 
04059010,- - Chất béo khan của bơ
04059020,- - Dầu bơ (butteroil)
04059030,- - Ghee
0406,Pho mát và curd
040610,"- Pho mát tươi (chưa ủ chín hoặc chưa xử lý), kể cả pho mát whey, và curd:"
04061010,"- - Pho mát tươi (chưa ủ chín hoặc chưa xử lý), kể cả pho mát whey"
04061020,- - Curd
040620,"- Pho mát đã xát nhỏ hoặc đã làm thành bột, của tất cả các loại:"
04062010,- - Đóng gói với trọng lượng cả bì trên 20 kg
04063000,"- Pho mát đã chế biến, chưa xát nhỏ hoặc chưa làm thành bột"
04064000,- Pho mát vân xanh và pho mát khác có vân được sản xuất từ men Penicillium roqueforti
04069000,- Pho mát loại khác
0407,"Trứng chim và trứng gia cầm, nguyên vỏ, sống, đã bảo quản hoặc đã làm chín"
040711,- - Của gà thuộc loài Gallus domesticus:
04071911,- - - - Để nhân giống
04072100,- - Của gà thuộc loài Gallus domesticus 
04072910,"- - - Của vịt, ngan"
04079010,- - Của gà thuộc loài Gallus domesticus
04079020,"- - Của vịt, ngan"
0408,"Trứng chim và trứng gia cầm, đã bóc vỏ, và lòng đỏ trứng, sống, làm khô, hấp chín hoặc luộc chín trong nước, đóng bánh, đông lạnh hoặc bảo quản cách khác, đã hoặc chưa thêm đường hoặc chất tạo ngọt khác"
04081100,- - Đã làm khô
04090000,Mật ong tự nhiên
0410,"Côn trùng và sản phẩm ăn được gốc động vật, chưa được chi tiết hoặc ghi ở nơi khác"
04101000,- Côn trùng
04109010,- - Tổ yến
04109020,- - Trứng rùa
05010000,"Tóc người, chưa xử lý, đã hoặc chưa rửa sạch hoặc gột tẩy; phế liệu tóc người"
0502,Lông và lông cứng của lợn hoặc lợn lòi; lông dùng làm chổi và bàn chải khác; phế liệu từ các loại lông trên
05021000,- Lông và lông cứng của lợn hoặc lợn lòi và phế liệu của chúng
05040000,"Ruột, bong bóng và dạ dày động vật (trừ cá), nguyên dạng và các mảnh của chúng, tươi, ướp lạnh, đông lạnh, muối, ngâm nước muối, làm khô hoặc hun khói"
0505,"Da và các bộ phận khác của loài chim và gia cầm, có lông vũ hoặc lông tơ, lông vũ và các phần của lông vũ (đã hoặc chưa cắt tỉa) và lông tơ, mới chỉ được làm sạch, khử trùng hoặc xử lý để bảo quản; bột và phế liệu từ lông vũ hoặc các phần của lông vũ"
050510,- Lông vũ dùng để nhồi; lông tơ:
05051010,"- - Lông vũ của vịt, ngan"
0506,"Xương và lõi sừng, chưa xử lý, đã khử mỡ, sơ chế (nhưng chưa cắt thành hình), đã xử lý bằng axit hoặc khử gelatin; bột và phế liệu từ các sản phẩm trên"
05061000,- Ossein và xương đã xử lý bằng axit
0507,"Ngà, mai động vật họ rùa, lược cá voi (phiến sừng hàm trên) và hàm răng lược cá voi, sừng, gạc, móng guốc, móng, vuốt và mỏ, chưa xử lý hoặc đã sơ chế nhưng chưa cắt thành hình; bột và phế liệu từ các sản phẩm trên"
05071000,- Ngà; bột và phế liệu từ ngà
05079020,- - Mai động vật họ rùa
0508,"San hô và các chất liệu tương tự, chưa xử lý hoặc đã sơ chế nhưng chưa gia công thêm; mai, vỏ động vật thân mềm, động vật giáp xác hoặc động vật da gai và mai mực, chưa xử lý hoặc đã sơ chế nhưng chưa cắt thành hình, bột và phế liệu từ các sản phẩm trên"
05080020,"- Mai, vỏ động vật thân mềm, động vật giáp xác hoặc động vật da gai"
05100000,"Long diên hương, hương hải ly, chất xạ hương (từ cầy hương và hươu xạ); côn trùng cánh cứng cantharides; mật, đã hoặc chưa được làm khô; các tuyến và các sản phẩm động vật khác dùng để điều chế dược phẩm, tươi, ướp lạnh, đông lạnh hoặc bảo quản tạm thời dưới hình thức khác"
0511,"Các sản phẩm động vật khác chưa được chi tiết hoặc ghi ở nơi khác; động vật chết thuộc Chương 1 hoặc Chương 3, không thích hợp sử dụng cho người"
