hscode,mota
0201,"Thịt của động vật họ trâu bò, tươi hoặc ướp lạnh"
02011000,- Thịt cả con và nửa con
02012000,- Thịt pha có xương khác
02013000,- Thịt lọc không xương
0202,"Thịt của động vật họ trâu bò, đông lạnh"
02021000,- Thịt cả con và nửa con
02022000,- Thịt pha có xương khác
02023000,- Thịt lọc không xương
0203,"Thịt lợn, tươi, ướp lạnh hoặc đông lạnh"
#34,- Tươi hoặc ướp lạnh:
02031100,- - Thịt cả con và nửa con
02031200,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương"
02031900,- - Loại khác
#35,- Đông lạnh:
02032100,- - Thịt cả con và nửa con
02032200,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương"
02032900,- - Loại khác
0204,"Thịt cừu hoặc dê, tươi, ướp lạnh hoặc đông lạnh"
02041000,"- Thịt cừu non cả con và nửa con, tươi hoặc ướp lạnh"
#36,"- Thịt cừu khác, tươi hoặc ướp lạnh:"
02042100,- - Thịt cả con và nửa con
02042200,- - Thịt pha có xương khác
02042300,- - Thịt lọc không xương
02043000,"- Thịt cừu non, cả con và nửa con, đông lạnh"
#37,"- Thịt cừu khác, đông lạnh:"
02044100,- - Thịt cả con và nửa con
02044200,- - Thịt pha có xương khác
02044300,- - Thịt lọc không xương
02045000,- Thịt dê
02050000,"Thịt ngựa, lừa, la, tươi, ướp lạnh hoặc đông lạnh"
0206,"Phụ phẩm ăn được sau giết mổ của lợn, động vật họ trâu bò, cừu, dê, ngựa, la, lừa, tươi, ướp lạnh hoặc đông lạnh"
02061000,"- Của động vật họ trâu bò, tươi hoặc ướp lạnh"
#38,"- Của động vật họ trâu bò, đông lạnh:"
02062100,- - Lưỡi
02062200,- - Gan
02062900,- - Loại khác
02063000,"- Của lợn, tươi hoặc ướp lạnh"
#39,"- Của lợn, đông lạnh:"
02064100,- - Gan
02064900,- - Loại khác
02068000,"- Loại khác, tươi hoặc ướp lạnh"
02069000,"- Loại khác, đông lạnh"
0207,"Thịt và phụ phẩm ăn được sau giết mổ, của gia cầm thuộc nhóm 01.05, tươi, ướp lạnh hoặc đông lạnh"
#40,- Của gà thuộc loài Gallus domesticus:
02071100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh"
02071200,"- - Chưa chặt mảnh, đông lạnh"
02071300,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh"
020714,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh:"
02071410,- - - Cánh
02071420,- - - Đùi
02071430,- - - Gan
#41,- - - Loại khác:
02071491,- - - - Thịt đã được lọc hoặc tách khỏi xương bằng phương pháp cơ học (SEN)
02071499,- - - - Loại khác
#42,- Của gà tây:
02072400,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh"
02072500,"- - Chưa chặt mảnh, đông lạnh"
02072600,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh"
020727,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh:"
02072710,- - - Gan
#43,- - - Loại khác:
02072791,- - - - Thịt đã được lọc hoặc tách khỏi xương bằng phương pháp cơ học (SEN)
02072799,- - - - Loại khác
#44,"- Của vịt, ngan:"
02074100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh"
02074200,"- - Chưa chặt mảnh, đông lạnh"
02074300,"- - Gan béo, tươi hoặc ướp lạnh"
02074400,"- - Loại khác, tươi hoặc ướp lạnh"
020745,"- - Loại khác, đông lạnh:"
02074510,- - - Gan béo
02074590,- - - Loại khác
#45,- Của ngỗng:
02075100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh"
02075200,"- - Chưa chặt mảnh, đông lạnh"
02075300,"- - Gan béo, tươi hoặc ướp lạnh"
02075400,"- - Loại khác, tươi hoặc ướp lạnh"
020755,"- - Loại khác, đông lạnh:"
02075510,- - - Gan béo
02075590,- - - Loại khác
020760,- Của gà lôi: 
02076010,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh"
02076020,"- - Chưa chặt mảnh, đông lạnh"
02076030,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh"
02076040,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh"
0208,"Thịt và phụ phẩm dạng thịt ăn được sau giết mổ của động vật khác, tươi, ướp lạnh hoặc đông lạnh"
02081000,- Của thỏ hoặc thỏ rừng
02083000,- Của bộ động vật linh trưởng
020840,"- Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); của hải cẩu, sư tử biển và con moóc (hải mã) (động vật có vú thuộc phân bộ Pinnipedia):"
02084010,"- - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)"
02084090,- - Loại khác
02085000,- Của loài bò sát (kể cả rắn và rùa)
02086000,- Của lạc đà và họ lạc đà (Camelidae)
020890,- Loại khác:
02089010,- - Đùi ếch
02089090,- - Loại khác
0209,"Mỡ lợn không dính nạc và mỡ gia cầm, chưa nấu chảy hoặc chiết xuất cách khác, tươi, ướp lạnh, đông lạnh, muối, ngâm nước muối, làm khô hoặc hun khói"
02091000,- Của lợn
02099000,- Loại khác
0210,"Thịt và phụ phẩm dạng thịt ăn được sau giết mổ, muối, ngâm nước muối, làm khô hoặc hun khói; bột mịn và bột thô ăn được làm từ thịt hoặc phụ phẩm dạng thịt sau giết mổ"
#46,- Thịt lợn:
02101100,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương"
02101200,- - Thịt dọi (ba chỉ) và các mảnh của chúng
021019,- - Loại khác:
02101930,- - - Thịt lợn muối xông khói (bacon); thịt mông đùi (hams) không xương
02101990,- - - Loại khác
02102000,- Thịt động vật họ trâu bò
#47,"- Loại khác, kể cả bột mịn và bột thô ăn được làm từ thịt hoặc phụ phẩm dạng thịt sau giết mổ:"
02109100,- - Của bộ động vật linh trưởng
021092,"- - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); của hải cẩu, sư tử biển và con moóc (hải mã) (động vật có vú thuộc phân bộ Pinnipedia):"
02109210,"- - - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)"
02109290,- - - Loại khác
02109300,- - Của loài bò sát (kể cả rắn và rùa)
021099,- - Loại khác:
02109910,- - - Thịt gà thái miếng đã được làm khô đông lạnh (SEN)
02109920,- - - Da lợn khô 
02109990,- - - Loại khác
#48,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#49,Chương 3
#50,"Cá và động vật giáp xác, động vật thân mềm và động vật thủy sinh không xương sống khác"
#51,Chú giải
#52,1. Chương này không bao gồm:
#53,(a) Động vật có vú thuộc nhóm 01.06;
#54,(b) Thịt của động vật có vú thuộc nhóm 01.06 (nhóm 02.08 hoặc 02.10);
#55,"(c) Cá (kể cả gan, sẹ và bọc trứng cá) hoặc động vật giáp xác, động vật thân mềm hoặc động vật thủy sinh không xương sống khác, đã chết và không thích hợp dùng làm thức ăn cho người hoặc vì lý do chủng loại hoặc vì trạng thái của chúng (Chương 5); các loại bột mịn, bột thô hoặc viên làm từ cá hoặc động vật giáp xác, động vật thân mềm hoặc động vật thủy sinh không xương sống khác, không thích hợp dùng làm thức ăn cho người (nhóm 23.01); hoặc"
#56,(d) Trứng cá tầm muối hoặc các sản phẩm thay thế trứng cá tầm muối từ trứng cá (nhóm 16.04).
#57,"2. Trong Chương này khái niệm ""viên"" (pellets) có nghĩa là các sản phẩm được liên kết hoặc bằng cách nén trực tiếp hoặc bằng cách cho thêm một lượng nhỏ chất kết dính."
#58,"3. Các nhóm từ 03.05 đến 03.08 không bao gồm bột mịn, bột thô và viên, thích hợp dùng làm thức ăn cho người (nhóm 03.09)."
0301,Cá sống
#59,- Cá cảnh:
030111,- - Cá nước ngọt:
03011110,- - - Cá bột
#60,- - - Loại khác:
03011191,- - - - Cá chép Koi (Cyprinus carpio)
03011192,- - - - Cá vàng (Carassius auratus)
03011193,- - - - Cá chọi Thái Lan (Beta splendens)
03011195,- - - - Cá rồng (Scleropages formosus)
03011199,- - - - Loại khác
030119,- - Loại khác:
03011910,- - - Cá bột
03011990,- - - Loại khác
#61,- Cá sống khác:
03019100,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)"
03019200,- - Cá chình (Anguilla spp.)
030193,"- - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.):"
#62,"- - - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus):"
03019321,"- - - - Để nhân giống, trừ cá bột (SEN)"
03019322,- - - - Cá bột
03019329,- - - - Loại khác
#63,"- - - Cá chép (Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.):"
03019331,"- - - - Để nhân giống, trừ cá bột (SEN)"
03019332,- - - - Cá bột
03019339,- - - - Loại khác
03019400,"- - Cá ngừ vây xanh Đại Tây Dương và Thái Bình Dương (Thunnus thynnus, Thunnus orientalis)"
03019500,- - Cá ngừ vây xanh phương Nam (Thunnus maccoyii)
030199,- - Loại khác:
#64,- - - Cá bột của cá măng biển và của cá mú:
03019911,- - - - Để nhân giống (SEN)
03019919,- - - - Loại khác
#65,- - - Cá bột loại khác:
03019922,"- - - - Cá chép khác, để nhân giống (SEN)"
03019923,- - - - Cá chép loại khác (SEN)
03019924,"- - - - Loại khác, để nhân giống"
03019929,- - - - Loại khác
#66,"- - - Cá măng biển và cá mú, trừ cá bột:"
03019931,- - - - Cá măng biển để nhân giống (SEN)
03019932,"- - - - Cá măng biển, loại khác (SEN)"
03019933,- - - - Cá mú chấm nhỏ (Plectropomus leopardus)(SEN)
03019934,- - - - Cá mú hoa nâu/cá mú cọp (Epinephelus fuscoguttatus) (SEN)
03019935,- - - - Cá mú dẹt (Cromileptes altivelis) (SEN)
03019936,- - - - Cá mú loại khác
#67,- - - Cá nước ngọt khác:
03019941,- - - - Cá rô phi (Oreochromis spp.)(SEN)
03019942,"- - - - Cá chép khác, để nhân giống (SEN)"
03019949,- - - - Loại khác
03019950,- - - Cá biển khác
03019990,- - - Loại khác
0302,"Cá, tươi hoặc ướp lạnh, trừ phi-lê cá (fillets) và các loại thịt cá khác thuộc nhóm 03.04"
#68,"- Cá hồi, trừ phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0302.91 đến 0302.99:"
03021100,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)"
03021300,"- - Cá hồi Thái Bình Dương (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus)"
03021400,- - Cá hồi Đại Tây Dương (Salmo salar) và cá hồi sông Đa-nuýp (Hucho hucho)
03021900,- - Loại khác
#69,"- Cá bơn (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae và Citharidae), trừ phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0302.91 đến 0302.99:"
03022100,"- - Cá bơn lưỡi ngựa(Halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
03022200,- - Cá bơn sao (Pleuronectes platessa)
03022300,- - Cá bơn sole (Solea spp.)
03022400,- - Cá bơn turbots (Psetta maxima)
03022900,- - Loại khác
#70,"- Cá ngừ đại dương (thuộc giống Thunnus), cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis), trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0302.91 đến 0302.99:"
03023100,- - Cá ngừ vây dài (Thunnus alalunga)
03023200,- - Cá ngừ vây vàng (Thunnus albacares)
03023300,- - Cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis)
03023400,- - Cá ngừ mắt to (Thunnus obesus)
03023500,"- - Cá ngừ vây xanh Đại Tây Dương và Thái Bình Dương (Thunnus thynnus, Thunnus orientalis)"
03023600,- - Cá ngừ vây xanh phương Nam (Thunnus maccoyii)
03023900,- - Loại khác
#71,"- Cá trích nước lạnh (Clupea harengus, Clupea pallasii), cá cơm (cá trỏng) (Engraulis spp.), cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus), cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus), cá bạc má (Rastrelliger spp.), cá thu (Scomberomorus spp.), cá nục gai và cá sòng (Trachurus spp.), cá khế jacks, cá khế crevalles (Caranx spp.), cá giò (Rachycentron canadum), cá chim trắng (Pampus spp.), cá thu đao (Cololabis saira), cá nục (Decapterus spp.), cá trứng (Mallotus villosus), cá kiếm (Xiphias gladius), cá ngừ chấm (Euthynnus affinis), cá ngừ ba chấm (Sarda spp.), cá cờ marlin, cá cờ lá (sailfish), cá cờ spearfish (Istiophoridae), trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0302.91 đến 0302.99:"
03024100,"- - Cá trích nước lạnh (Clupea harengus, Clupea pallasii)"
03024200,- - Cá cơm (cá trỏng) (Engraulis spp.)
03024300,"- - Cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus)"
03024400,"- - Cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
03024500,- - Cá nục gai và cá sòng (Trachurus spp.)
03024600,- - Cá giò (Rachycentron canadum) 
03024700,- - Cá kiếm (Xiphias gladius)
03024900,- - Loại khác
#72,"- Cá thuộc các họ Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae và Muraenolepididae, trừ phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0302.91 đến 0302.99:"
03025100,"- - Cá tuyết (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
03025200,- - Cá tuyết chấm đen (Melanogrammus aeglefinus)
03025300,- - Cá tuyết đen (Pollachius virens)
03025400,"- - Cá tuyết hake (Merluccius spp., Urophycis spp.)"
03025500,- - Cá Minh Thái (Alaska Pollock) (Theragra chalcogramma)
03025600,"- - Cá tuyết lam (Micromesistius poutassou, Micromesistius australis)"
03025900,- - Loại khác
#73,"- Cá rô phi (Oreochromis spp.), cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), cá chình (Anguilla spp.), cá rô sông Nile(Lates niloticus) và cá quả (cá chuối hoặc cá lóc) (Channa spp.), trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0302.91 đến 0302.99:"
03027100,- - Cá rô phi (Oreochromis spp.)
030272,"- - Cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.):"
03027210,- - - Cá tra đuôi vàng (Pangasius pangasius)
03027290,- - - Loại khác
03027300,"- - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
03027400,- - Cá chình (Anguilla spp.)
03027900,- - Loại khác
#74,"- Cá khác, trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0302.91 đến 0302.99:"
03028100,- - Cá nhám góc và cá mập khác
03028200,- - Cá đuối (Rajidae)
03028300,- - Cá răng cưa (Dissostichus spp.)
03028400,- - Cá vược (hoặc cá vược Châu Âu) (Dicentrarchus spp.)
03028500,- - Cá tráp biển (Sparidae)
030289,- - Loại khác:
#75,- - - Cá biển:
03028911,- - - - Cá mú 
03028912,- - - - Cá bạc (Pentaprion longimanus)
03028913,- - - - Cá mối hoa (Trachinocephalus myops)
03028914,"- - - - Cá hố savalai (Lepturacanthus savala), cá đù Belanger (Johnius belangerii), cá đù Reeve (Chrysochir aureus) và cá đù mắt to (Pennahia anea)"
03028915,- - - - Cá nhụ Ấn Độ (Polynemus indicus)
03028916,"- - - - Cá sòng gió (Megalaspis cordyla), cá hiên chấm (Drepane punctata) và cá nhồng lớn (Sphyraena barracuda)"
03028917,- - - - Cá chim đen (Parastromatus niger)
03028918,- - - - Cá hồng bạc (Lutjanus argentimaculatus)
03028919,- - - - Loại khác
#76,- - - Loại khác:
03028922,- - - - Cá đòng đong đầm lầy (Puntius chola)
03028923,- - - - Cá sạo bạc (Pomadasys argenteus)
03028927,- - - - Cá mòi Hilsa (Tenualosa ilisha)
03028928,- - - - Cá leo (Wallago attu) và cá tra dầu (Sperata seenghala)
03028929,- - - - Loại khác
#77,"- Gan, sẹ và bọc trứng cá, vây, đầu, đuôi, bong bóng và các phụ phẩm ăn được sau giết mổ khác của cá:"
03029100,"- - Gan, sẹ và bọc trứng cá"
03029200,- - Vây cá mập
03029900,- - Loại khác
0303,"Cá, đông lạnh, trừ phi-lê cá (fillets) và các loại thịt cá khác thuộc nhóm 03.04"
#78,"- Cá hồi, trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0303.91 đến 0303.99:"
03031100,- - Cá hồi đỏ (Oncorhynchus nerka)
03031200,"- - Cá hồi Thái Bình Dương khác (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus)"
03031300,- - Cá hồi Đại Tây Dương (Salmo salar) và cá hồi sông Đa-nuýp (Hucho hucho)
03031400,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)"
03031900,- - Loại khác
#79,"- Cá rô phi (Oreochromis spp.), cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), cá chình (Anguilla spp.), cá rô sông Nile (Lates niloticus) và cá quả (cá lóc hoặc cá chuối) (Channa spp.), trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0303.91 đến 0303.99:"
03032300,- - Cá rô phi (Oreochromis spp.) (SEN)
03032400,"- - Cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
03032500,"- - Cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
03032600,- - Cá chình (Anguilla spp.)
03032900,- - Loại khác
#80,"- Cá bơn (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae và Citharidae), trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0303.91 đến 0303.99:"
03033100,"- - Cá bơn lưỡi ngựa (Halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
03033200,- - Cá bơn sao (Pleuronectes platessa)
03033300,- - Cá bơn sole (Solea spp.)
03033400,- - Cá bơn turbot (Psetta maxima)
03033900,- - Loại khác
#81,"- Cá ngừ đại dương (thuộc giống Thunus), cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis), trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0303.91 đến 0303.99:"
03034100,- - Cá ngừ vây dài (Thunnus alalunga)
03034200,- - Cá ngừ vây vàng (Thunnus albacares)
03034300,- - Cá ngừ vằn (cá ngừ sọc dưa) (Katsuwonus pelamis)
03034400,- - Cá ngừ mắt to (Thunnus obesus)
030345,"- - Cá ngừ vây xanh Đại Tây Dương và Thái Bình Dương (Thunnus thynnus, Thunnus orientalis):"
03034510,- - - Cá ngừ vây xanh Đại Tây Dương (Thunnus thynnus)
03034590,- - - Cá ngừ vây xanh Thái Bình Dương (Thunnus orientalis)
03034600,- - Cá ngừ vây xanh phương Nam (Thunnus maccoyii)
030349,- - Loại khác:
03034910,- - - Cá ngừ bò (Thunnus tonggol) (SEN)
03034990,- - - Loại khác
#82,"- Cá trích nước lạnh (Clupea harengus, Clupea pallasii), cá cơm (cá trỏng) (Engraulis spp.), cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus), cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus), cá bạc má (Rastrelliger spp.), cá thu (Scomberomorus spp.), cá nục gai và cá sòng (Trachurus spp.), cá khế jacks, cá khế crevalles (Caranx spp.), cá giò (Rachycentron canadum), cá chim trắng (Pampus spp.), cá thu đao (Cololabis saira), cá nục (Decapterus spp.), cá trứng (Mallotus villosus), cá kiếm (Xiphias gladius), cá ngừ chấm (Euthynnus affinis), cá ngừ ba chấm (Sarda spp.), cá cờ marlin, cá cờ lá (sailfishes), cá cờ spearfish (Istiophoridae), trừ các phụ phẩm ăn được sau giết mổ của cá thuộc các phân nhóm từ 0303.91 đến 0303.99:"
03035100,"- - Cá trích nước lạnh (Clupea harengus, Clupea pallasii)"
03035300,"- - Cá trích dầu (Sardina pilchardus, Sardinops spp.), cá trích xương (Sardinella spp.), cá trích kê hoặc cá trích cơm (Sprattus sprattus)"
030354,"- - Cá nục hoa (Scomber scombrus, Scomber australasicus, Scomber japonicus):"
03035410,"- - - Cá nục hoa (Scomber scombrus, Scomber australasicus) (SEN)"
