,hscode,hscode_4_so,mo_ta,top_5_retrieval,check
27,28061000,2806,".#&Hóa chất Hydrochloric acid (0.1N)(1l/ chai), hàng mới 100%","[2917, 2915, 2918, 2920, 25120000]",False
28,28070010,2807,".#&Hóa chất Sulfuric Acid H2SO4 95%, hàng mới 100%#&KR","[2917, 2915, 2918, 2920, 3811]",False
29,28070010,2807,".#&Hóa chất Sulfuric Acid H2SO4 95%, hàng mới 100%","[2917, 2915, 2918, 2920, 3811]",False
30,28070090,2807,".#&Hoá chất Sulfuric acid - H2SO4 60%, hàng mới 100%#&KR","[6003, 6002, 6004, 2917, 6005]",False
31,28070090,2807,.#&VIAKING REDUCER 203: Chế phẩm làm sạch bề mặt kim loại có thành phần chính là axit sulfuric và phụ gia dạng lỏng,"[3402, 3401, 3810, 6809, 3811]",False
32,28070090,2807,".#&Hoá chất Sulfuric acid - H2SO4 60%, hàng mới 100%","[6003, 6002, 6004, 2917, 6005]",False
33,28080000,2808,".#&Hoá chất Axit nitric HNO3 68%, hàng mới 100%#&KR","[2917, 2915, 2918, 2920, 3811]",False
34,28080000,2808,".#&Hoá chất Axit nitric HNO3 68%, hàng mới 100%","[2917, 2915, 2918, 2920, 3811]",False
35,28151100,2815,".#&Hoá chất Sodium hydroxide - NaOH 99%, dạng rắn, hàng mới 100%#&TW","[98350000, 7203, 44130000, 2917, 8474]",False
36,28151100,2815,".#&Hoá chất Sodium hydroxide - NaOH 99%, dạng rắn, hàng mới 100%#&CN","[98350000, 7203, 44130000, 2917, 8474]",False
37,28151100,2815,".#&Hoá chất Sodium hydroxide - NaOH 99%, dạng rắn, hàng mới 100%","[98350000, 7203, 44130000, 2917, 8474]",False
38,28151200,2815,".#&Hoá chất Sodium hydroxide - NaOH 25%, dạng lòng, hàng mới 100%#&KR","[98350000, 2917, 2915, 2918, 2920]",False
39,28151200,2815,.#&Chất thử dùng để chuẩn đoán nồng độ acid trong dung dịch hóa chất (1N SODIUM HYDROXIDE). Đóng gói 1 lít/ chai. Hàng mới 100%,"[3822, 6305, 3923, 3811, 2207]",False
40,28151200,2815,.#&Hợp chất tiền xử lý bo mạch trước khi ép Bondfilm Cleaner ALK: là dung dịch Sodium hydroxide >= 15 - < 30 (dung dịch Natri Hydroxit; NaOH >= 15 - < 30%; 30kg/can),"[98350000, 3003, 3004, 6003, 6002]",False
41,28151200,2815,.#&Chất thử dùng để chuẩn đoán nồng nộ acid trong dung dịch hóa chất (0.1N SODIUM HYDROXIDE ). Đóng gói 1 lít/ chai. Hàng mới 100%,"[3822, 6305, 3923, 3811, 3707]",False
42,28151200,2815,".#&Hoá chất Sodium hydroxide - NaOH 25%, dạng lòng, hàng mới 100%","[98350000, 2917, 2915, 2918, 2920]",False
43,28151200,2815,".#&Hóa chất Sodium hydroxide standard Solution 1N (1lít/chai), hàng mới 100%","[2917, 2915, 2918, 2920, 25120000]",False
44,28255000,2825,"NL172#&Đồng oxit dạng bột dùng làm bản mạch PCB, Copper II oxide quy cách 200kg/thùng. Hàng mới 100%","[4415, 9706, 5209, 5208, 82100000]",False
45,28291100,2829,".#&Hóa chất chất mạ đồng IS-792 ET2( dung dịch Natri clorat )(TP: Natri clorat :15-25%,Nước : 75-85%).Hàng mới 100%","[98350000, 2821, 5206, 5205, 5209]",False
46,28323000,2832,".#&Dung dịch Sodium thiosulfate- Na2S2O3 0.1M(1l/ chai), hàng mới 100%","[7606, 2814, 8422, 7409, 8309]",False
47,28323000,2832,".#&Hóa chất Sodium thiosulffate(500g/ chai), hàng mới 100%","[2917, 2915, 2918, 2920, 3811]",False
48,28332500,2833,"NL260#&Đồng Sunfat dạng bột dùng làm bản mạch PCB, quy cách đóng gói 20kg/bao, hàng mới 100%","[6305, 3306, 3407, 3105, 3212]",False
49,28332990,2833,".#&Hóa chất Iron II Sulfate-FeSO4.7H2O 99%, hàng mới 100%#&CN","[7203, 2917, 2915, 2918, 2920]",False
50,28332990,2833,".#&Hóa chất Iron II Sulfate-FeSO4.7H2O 99%, hàng mới 100%","[7203, 2917, 2915, 2918, 2920]",False
51,28334000,2833,".#&Hóa chất xử lý bề mặt Sodium persulfate - Na2S2O8, thành phần Na2S2O8 99%. Hàng mới 100%","[7203, 98350000, 9706, 5206, 5205]",False
52,28364000,2836,"NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-DE 311 (Kali carbonat loại hơi loãng dùng trong công nghiệp mạ) (2560Kg = 1882.35Lit ; đơn giá: 35000VND/Kg). Hàng mới 100%","[8514, 8417, 3824, 9706, 8709]",False
53,28364000,2836,"NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-RS 513 Dung dịch mạ đồng IS-RS 513 ( dung dịch tẩy sơn kalicarbonat loại hơi loãng) (1500Kg=1102.94Lit; đơn giá 30000VND/Kg). Hàng mới 100 %","[98350000, 2814, 1520, 38140000, 3804]",False
54,28416100,2841,".#&Hoá chất Potassium permanganate (KMnO4) 99%, hàng mới 100%#&CN","[7203, 2917, 2915, 2918, 2920]",False
55,28416100,2841,".#&Hoá chất Potassium permanganate 0.1N-Thuốc tím(dung dịch pha loãng), phân tích nồng độ của dung dịch mạ, dùng trong thí nghiệm,t/p:Potassium permanganate <1% và nước >99%. NSX:OCI.Mới 100%(1L/chai)","[98350000, 2207, 2208, 5211, 5210]",False
56,28416100,2841,".#&Hóa chất Potasium permanganate(500g/ chai), hàng mới 100%","[2917, 2915, 2918, 2920, 3811]",False
57,28416100,2841,".#&Dung dịch Potasium permanganate 0.1N(1l/ chai), hàng mới 100%","[7606, 2814, 8422, 7409, 8309]",False
58,28470010,2847,".#&Hoá chất Hydrogen Peroxide H2O2 35%, hàng mới 100%","[2917, 2915, 2918, 2920, 3811]",False
59,29051100,2905,".#&Hóa chất Methanol 99%, dạng lỏng. Hàng mới 100%#&ID","[7203, 8413, 98350000, 3811, 2821]",False
60,29051100,2905,".#&Hóa chất Methanol 99%, dạng lỏng. Hàng mới 100%","[7203, 8413, 98350000, 3811, 2821]",False
61,29053100,2905,".#&Hóa chất Ethylene glycol(500ml/ chai), hàng mới 100%","[2917, 2915, 2918, 2920, 3811]",False
62,29094300,2909,".#&Butyl Cellosolve-BCS, 180 kg/phuy ( BC)(dung môi dùng trong công nghiệp). Thành phần: CAS NO 111-76-2: 99.9%). Hàng mới 100%","[8514, 8417, 7203, 3302, 98350000]",False
63,29221100,2922,.#&VIAKING CONDITIONER DS 280 M: Chế phẩm hóa học dùng trong công nghiệp mạ có thành phần chính là Monoetanolamin và muối của nó; 25Kg/can; cas:141-43-5 (>= 15 -< 20%),"[3824, 3302, 2101, 2925, 3407]",False
64,29221100,2922,.#&VIAKING CONDITIONER DS 280 M: Chế phẩm hóa học dùng trong công nghiệp mạ có thành phần chính là Monoetanolamin và muối của nó; 25Kg/can; cas:141-43-5 (>= 15 -< 20%); hàng mới 100%,"[3824, 3302, 2101, 2925, 3407]",False
65,29224900,2922,".#&Hóa chất EDTA 0.1M (1l/ chai), hàng mới 100%","[2917, 2915, 2918, 2920, 25120000]",False
66,29224900,2922,".#&Dung dịch EDTA 0,05M(1l/ chai), hàng mới 100%","[7606, 2814, 8422, 7409, 8309]",False
67,32041210,3204,".#&Thuốc nhuộm axit dùng trong xi mạ (SANODURE BLACK BLX-10, 1KG/EA) (Hàng mới 100%)","[9706, 82100000, 28080000, 3212, 2806]",False
68,32041210,3204,".#&Thuốc nhuộm axit dùng trong xi mạ (SANODURE FAST GOLD L, 1KG/EA). Hàng mới 100%","[9706, 28080000, 3212, 2806, 2807]",False
69,32041290,3204,.#&Thuốc nhuộm dùng trong xi mạ SANODAL RED B3LW dạng hạt (liti) (1kg/1EA) (Hàng mới 100%),"[9706, 3212, 6909, 82100000, 38180000]",False
70,32041790,3204,.#&Hóa chất TAC BLUE BRL (507) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN,"[3207, 3210, 4810, 3204, 3213]",True
71,32041790,3204,.#&Hóa chất TAC BLACK-SG(B) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN,"[3207, 3210, 4810, 3204, 3213]",True
72,32041790,3204,.#&Hóa chất TAC RED BRL(124) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN,"[3207, 3210, 4810, 3204, 3213]",True
73,32041790,3204,".#&Hóa chất TAC BLACK-SG(B) (Thành Phần: Metal salt, Organic compound, Organic acid salt) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN","[3207, 3210, 4810, 3204, 3213]",True
74,32041790,3204,".#&Hóa chất TAC RED BRL(124)(Thành Phần: Chromium azo acid complex dyes, Dextrin, Sodium acetate, Sulfamic acid, Bacteria prevention agent)  dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)#&VN","[3207, 3505, 3210, 4810, 3204]",True
75,32041790,3204,".#&Hóa chất TAC BLACK-SG(B) (Thành Phần: Metal salt, Organic compound, Organic acid salt) dùng pha chế màu tráng bề mặt sản phẩm. (Hàng mới 100%)","[3207, 3210, 4810, 3204, 3213]",True
76,32049000,3204,".#&Chế phẩm làm sạch chứa chất hoạt động bề mặt anionic, dạng lỏng (DIA PAT) (20 LTR/UNL). Hàng mới 100%","[3402, 3401, 3810, 8413, 3811]",False
77,32082090,3208,".#&Dung dịch đúc mẫu,1 Lít/1 bottle,TP:Poly(hydroxylethyl methacrylate:methyl methacrylate)trong dung môi hữu cơ,hàm lượng dm>50% theo trọng lượng dung dịch,PTPL số:59/TB-KD2(25/1/2022)#&KR","[98350000, 86050000, 2821, 25120000, 26020000]",False
78,32082090,3208,".#&Sơn dùng sơn vỏ HITHANE HARDENER #6570 (Thành phần: Poly-isocyanate resin: 65-75%, N-Butyl Acetate: 25-35%). Hàng mới 100%","[98350000, 5206, 5205, 2208, 5209]",False
79,32082090,3208,NL211#&Sơn dạng nước UTPR-1GY1-SE2341-1 15 KG (hàng mới 100%),"[2814, 7409, 8418, 3506, 3916]",False
80,32082090,3208,NL211#&Sơn dạng nước UTPR-1GY1-SE2619 15 KG (hàng mới 100%),"[2814, 7409, 3105, 82100000, 2202]",False
81,32082090,3208,NL211#&Sơn dạng nước UTCC-OCL2-SE2950(MATT) 15 KG (hàng mới 100%),"[2814, 7409, 3105, 82100000, 2202]",False
82,32082090,3208,NL211#&Sơn dạng nước UTCC-OCL2-SE2951(GLOSS) 15KG (hàng mới 100%),"[2814, 2202, 210, 2009, 2104]",False
83,32082090,3208,NL211#&Sơn dạng nước UTPT-1GY1-SE2340(MX)-4 15 KG (hàng mới 100%),"[2814, 7409, 3006, 3105, 3208]",True
84,32082090,3208,NL211#&Sơn dạng nước UTBC-2GYG8470D-7 15 KG (hàng mới 100%),"[98260000, 2814, 7409, 3105, 82100000]",False
85,32082090,3208,"NL211#&Sơn dạng nước UTPR-1GY1-SE2341-1 15 KG (1,4-Benzenedicarboxylic acidpolymer with decanedioicacid 2,2-dimethyl-1,3-propanediol and 1,2-ethanediol 30-31% CAS:29294-36-8...,hàng mới 100%","[98260000, 9827, 9829, 86050000, 7606]",False
86,32082090,3208,"NL211#&Sơn dạng nước UTPR-1GY1-SE2619 15 KG (Thành phần: Acrylic Resin 40-41% CAS: 104318-70-9, Methyl isobutyl ketone 19-20% CAS: 108-10-1..), hàng mới 100%","[98350000, 3906, 2821, 26020000, 7013]",False
87,32082090,3208,"NL211#&Sơn dạng nước UTCC-OCL2-SE2950(MATT) 15 KG (thành phần: Acrylic copolymer 45-50% CAS: 67845-66-3,TOLUEN 23-25% CAS: 108-88-3...) hàng mới 100%","[98350000, 3906, 8807, 4805, 6603]",False
88,32082090,3208,"NL211#&Sơn dạng nước UTCC-OCL2-SE2951(GLOSS) 15KG  (Thành phần: Acrylic copolymer 46-47% CAS: 67845-66-3, TOLUEN 29-30% CAS: 108-88-3) ,hàng mới 100%","[98350000, 3906, 8807, 4805, 6603]",False
89,32082090,3208,"NL211#&Sơn dạng nước UTPT-1GY1-SE2340(MX)-4 15 KG (Thành phần: Acrylic Resin 38-39% CAS: 104318-70-9,Methyl ethyl ketone 15-16% CAS: 78-93-3...),hàng mới 100%","[98350000, 7014, 3906, 2821, 7409]",False
90,32082090,3208,"NL211#&Sơn dạng nước UTBC-2GYG8470D-10 15 KG (thành phần: butylaxetat 10-25% CAS: 123-86-4, Toluen 10-25% CAS: 108-88-3...), hàng mới 100%","[82100000, 8702, 3105, 98350000, 5811]",False
91,32089090,3208,"NPL23#&Sơn dùng để sơn lên bề mặt sản phẩm, POWDER, AKZONOBEL, INTERPON EC, UL400K, ZALDA201145","[3214, 3402, 3401, 9610, 3210]",False
92,32089090,3208,"NPL23#&Sơn dùng để sơn lên bề mặt sản phẩm, POWDER, AKZONOBEL, MD408K, ZALDA201001","[3214, 3402, 3401, 9610, 3210]",False
93,32089090,3208,".#&Sơn xịt ATM Thường_A214, thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
94,32089090,3208,".#&Sơn xịt ATM Thường_A211,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer,dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
95,32089090,3208,".#&Sơn xịt ATM Thường_A300,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
96,32089090,3208,".#&Sơn xịt ATM Thường_A226,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
97,32089090,3208,".#&Sơn xịt ATM Thường_A210,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
98,32089090,3208,".#&Sơn xịt ATM Thường_A218,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
99,32089090,3208,".#&Sơn xịt ATM Thường_A242,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
100,32089090,3208,".#&Sơn xịt ATM Thường_A217,  thành phần của sơn:Hỗn hợp nhựa N/C và Acrylic Lacquer, dùng để ghi thông tin lên hàng hóa, hàng mới 100%","[9616, 3214, 3210, 38140000, 3302]",False
101,32089090,3208,".#&AT170-BLACK#30(TC)_Sơn dầu(16.5Lt/18Kg/Thùng). Mã Cas: 63148-69-6,1330-20-7,123-86-4,1333-86-4,471-34-1,7631-86-9,9003-08-1.","[86050000, 8530, 8603, 3006, 2923]",False
102,32099000,3209,".#&RF-6900 BLACK F-1_ Chất phủ sàn ( 18 Kg/Thùng). Mã Cas: 7732-18-5, 1333-86-4, 818-8-6, 1332-58-7.#&KXĐ","[7002, 98300000, 7013, 86050000, 3506]",False
103,32099000,3209,".#&RF-6900 BLACK F-2_Chất phủ sàn (16 Kg/Thùng). Mã Cas: 7732-18-5, 111-76-2, 64-19-7","[98260000, 7606, 2515, 9827, 9829]",False
104,32110000,3211,NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDNER W7441 3 KG (hàng mới 100%),"[8465, 2847, 8433, 32110000, 44130000]",False
105,32110000,3211,NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER A30 2 KG (hàng mới 100%),"[8465, 98260000, 2847, 8433, 32110000]",False
106,32110000,3211,NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER S20 3 KG (hàng mới 100%),"[8465, 2847, 8433, 32110000, 44130000]",False
107,32110000,3211,NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER T1757 3 KG (hàng mới 100%),"[8465, 2847, 8433, 32110000, 44130000]",False
108,32110000,3211,NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER W2607 3 KG (hàng mới 100%),"[8465, 2847, 8433, 32110000, 44130000]",False
109,32110000,3211,"NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDNER W7441 3 KG (thành phần: Toluen 40-60% CAS: 108-88-3, Hexane, 1,6-diisocyanato-, homopolymer 40-60% CAS: 28182-81-2...), hàng mới 100%","[6005, 6003, 6002, 6004, 9827]",False
110,32110000,3211,"NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER A30 2 KG (thành phần: Methyl ethyl ketone 50-51% CAS: 78-93-3, Polyester Resin 29-30% CAS: 25214-14-6...), hàng mới 100%","[3003, 98350000, 6002, 6004, 26020000]",False
111,32110000,3211,"NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER S20 3 KG (TP:Methyl benzene 40-41% CAS:108-88-3,Homopolymer ofHexamethylene Diisocyanate 35-36% CAS:28182-81-2...), hàng mới 100%","[9827, 9829, 8538, 8807, 98350000]",False
112,32110000,3211,"NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER T1757 3 KG, (thành phần: Homopolymer ofHexamethylene Diisocyanate 80-81% CAS: 28182-81-2..), hàng mới 100%","[3502, 8465, 2208, 9827, 9829]",False
113,32110000,3211,"NL249#&Chất đóng rắn làm khô cứng sơn UTHD-HARDENER W2607 3 KG, (Methyl benzene 60-61% CAS:108-88-3,Homopolymer ofHexamethylene Diisocyanate 24-25% CAS:28182-81-2... hàng mới 100%","[9827, 9829, 8807, 6002, 6004]",False
114,32149000,3214,".#&Ma tít (dùng để trát gắn, gắn kính, ghép nối, dán sàn, trần nhà, dán bộ phận cửa nhôm kính) (0.3L/tuýp) đi từ silicone - SL907 PREMIUM-TRANSPARENT. Hiệu KCC. Hàng mới 100%","[3214, 7007, 76090000, 7015, 9004]",True
115,32151990,3215,"NL179-1#&Mực in bản mạch PCB, INK / SPI -707 White LT2 (N) (0.85KG), 5040-577500","[3215, 7607, 7410, 7606, 8442]",True
116,32151990,3215,"NL179-1#&Mực in bản mạch PCB, INK / SPI -707 White LT2 (V) (0.8KG), 5020-007000","[3215, 7607, 7410, 8535, 7606]",True
117,32151990,3215,"NL179-1#&Mực in bản mạch PCB, PSR-4000 WT05 (Photoimageable Solder Mark)","[3215, 8442, 4911, 9702, 8534]",True
118,32151990,3215,"NL179-1#&Mực in bản mạch PCB, WHITE PSR INK / SFR-6A KS-F(B2-R603) 3.4KG, 4060-007900","[3215, 511, 8442, 4911, 9702]",True
119,32151990,3215,"NL179-1#&Mực in bản mạch PCB, PLUGGING INK, PHP-900 IR-6P","[3215, 8442, 4911, 9702, 8534]",True
120,32151990,3215,"NL179-1#&Mực in bản mạch PCB, PSR-4000 MHF (Photoimageable Solder Mark),","[3215, 8442, 4911, 9702, 8534]",True
121,32151990,3215,"NL179-1#&Mực in bản mạch PCB, PSR INK DYS-2000 / BLACK-G, 4060-006200","[3215, 8442, 4911, 9702, 8534]",True
122,32151990,3215,"NL179-1#&Mực in bản mạch PCB, DYS-2000 CS-RED 4KG *1, 4060-008200","[3215, 86050000, 73160000, 704, 4103]",True
123,32151990,3215,"NL179-1#&Mực in bản mạch PCB, DM-100 HFBLACK / 1BOX(0.5kg*12), 4060-009000","[3215, 9706, 7607, 7410, 3506]",True
124,32151990,3215,"NL179-1#&Mực in bản mạch PCB, DM-100 YELLOW, 4060-008900","[3215, 9706, 8442, 4911, 9702]",True
125,32151990,3215,"NL179-1#&Mực in bản mạch PCB, DM-100 WHITE 1BOX=6KG(0.5KG*12), 4060-005300","[3215, 9706, 7607, 7410, 7606]",True
126,32151990,3215,"NL179-1#&Mực in bản mạch PCB, DYS-2000 HFDK-M( ) / 1BOX(1KG=10KG/4KG=12KG), 4060-009600","[3215, 8442, 4911, 9702, 8534]",True
127,32151990,3215,"NL179-1#&Mực in bản mạch PCB, DYS-2000 CS-YELLOW, 4060-008100","[3215, 8442, 4911, 9702, 8534]",True
128,32151990,3215,"NL179-1#&Mực in bản mạch PCB, PSR INK DYS-2000 / WS-LE ( PSR WHITE), 4060-005700","[3215, 8442, 4911, 9702, 8534]",True
129,32151990,3215,"NL179-1#&Mực in bản mạch PCB, INK, JPSR-4000 (JS-510V) / 3KG, 5040-660400","[3215, 8442, 4911, 9702, 8534]",True
130,32151990,3215,"NL179-1#&Mực in bản mạch PCB, PSR-4000 MHF (Photoimageable Solder Mark), PE230126001-VESSEL","[3215, 8442, 4911, 9702, 8534]",True
131,32151990,3215,"NL179-1#&Mực in bản mạch PCB, PSR-4000 MHF (Photoimageable Solder Mark), PE230303001","[3215, 8442, 4911, 9702, 8534]",True
132,34024290,3402,".#&Chất xử lý bề mặt kim loại TRITON X-100; thành phần: Polyethylene glycol octylphenyl ether >=97%,Poly (ethylene oxide)<=3%;dạng lỏng,200kg/phi, mới 100%","[9706, 5209, 5208, 98350000, 5211]",False
133,34029012,3402,"NL169#&Hóa chất xử lý bề mặt bản mạch PCB, IS-900 (Chế phẩm chất hoạt động bề mặt Amonic) (486Kg=357.35Lit; đơn giá: 100000VND/Kg). Hàng mới 100%","[3402, 3214, 3401, 82100000, 9706]",True
134,34029019,3402,"NL126#&Hóa chất ngâm tẩm xử lý bề mặt sản phẩm dùng cho dây truyền mạ,IMPREGNATING AGENT/PLASEAL K-1400 194kg(180L), 5040-006200,TP:2-Hydroxyethyl methacrylate (868-77-9, 80~90%)","[5908, 8517, 2208, 3824, 2207]",False
135,34029019,3402,".#&Chế phẩm oxy hóa đồng clorua dùng trong quá trình khắc bảng mạch PCB AC-OX1046 (Tp: Nước 30-50%, Chlorate ion 40-50%, Sodium cation 3-10%, Chloride ion 3-10%). Hàng mới 100%","[98350000, 5206, 5205, 6002, 6004]",False
136,34029019,3402,"NL171#&Chất tẩy axit dùng làm bản mạch PCB, ACID CLEAN LF (TP chính: Cas: 7732-18-5 (90.8%)...), mới 100%","[98350000, 6002, 6004, 9706, 1901]",False
137,34029019,3402,"NL171#&Chất tẩy axit dùng làm bản mạch PCB, ACID CLEAN LF, dạng lỏng,TP:Sulfuric acid (7664-93-9) 8.5%, D.I.Water (7732-18-5) 90.8%.Private 0.7%, mới 100%","[98350000, 6002, 6004, 1901, 5206]",False
138,34029019,3402,"NL171#&Chất tẩy axit dùng làm bản mạch PCB, ACID CLEAN LF, dạng lỏng, TP:Sulfuric acid (7664-93-9) 8.5%, D. I. Water (7732-18-5) 90.8%. Private 0.7%, mới 100%","[98350000, 6002, 6004, 1901, 5206]",False
139,34029019,3402,"NL171#&Chất tẩy axit dùng làm bản mạch PCB, MKS-1200 Micro Etch, thành phần:Sulfuric acid (7664-93-9) 9.8%,Sodium xylenesulfonate (1300-72-7) 5%, D. I. Water (7732-18-5) 83.7%, hàng mới 100%","[6002, 6004, 98350000, 1901, 5206]",False
